site_id,location,latitude,longitude,date_only,interval,timestamp,flow,is_valid_coordinate
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,0,2006-10-01 00:00:00,262,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,1,2006-10-01 00:15:00,248,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,2,2006-10-01 00:30:00,199,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,3,2006-10-01 00:45:00,176,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,4,2006-10-01 01:00:00,177,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,5,2006-10-01 01:15:00,142,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,6,2006-10-01 01:30:00,119,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,7,2006-10-01 01:45:00,101,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,8,2006-10-01 02:00:00,85,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,9,2006-10-01 02:15:00,78,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,10,2006-10-01 02:30:00,75,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,11,2006-10-01 02:45:00,74,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,12,2006-10-01 03:00:00,74,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,13,2006-10-01 03:15:00,81,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,14,2006-10-01 03:30:00,58,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,15,2006-10-01 03:45:00,47,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,16,2006-10-01 04:00:00,61,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,17,2006-10-01 04:15:00,62,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,18,2006-10-01 04:30:00,55,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,19,2006-10-01 04:45:00,40,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,20,2006-10-01 05:00:00,47,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,21,2006-10-01 05:15:00,58,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,22,2006-10-01 05:30:00,60,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,23,2006-10-01 05:45:00,78,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,24,2006-10-01 06:00:00,66,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,25,2006-10-01 06:15:00,109,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,26,2006-10-01 06:30:00,180,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,27,2006-10-01 06:45:00,140,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,28,2006-10-01 07:00:00,137,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,29,2006-10-01 07:15:00,162,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,30,2006-10-01 07:30:00,201,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,31,2006-10-01 07:45:00,212,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,32,2006-10-01 08:00:00,200,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,33,2006-10-01 08:15:00,249,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,34,2006-10-01 08:30:00,304,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,35,2006-10-01 08:45:00,376,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,36,2006-10-01 09:00:00,410,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,37,2006-10-01 09:15:00,424,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,38,2006-10-01 09:30:00,593,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,39,2006-10-01 09:45:00,649,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,40,2006-10-01 10:00:00,663,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,41,2006-10-01 10:15:00,726,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,42,2006-10-01 10:30:00,750,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,43,2006-10-01 10:45:00,744,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,44,2006-10-01 11:00:00,785,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,45,2006-10-01 11:15:00,822,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,46,2006-10-01 11:30:00,850,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,47,2006-10-01 11:45:00,926,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,48,2006-10-01 12:00:00,996,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,49,2006-10-01 12:15:00,967,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,50,2006-10-01 12:30:00,880,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,51,2006-10-01 12:45:00,912,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,52,2006-10-01 13:00:00,933,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,53,2006-10-01 13:15:00,885,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,54,2006-10-01 13:30:00,820,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,55,2006-10-01 13:45:00,865,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,56,2006-10-01 14:00:00,961,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,57,2006-10-01 14:15:00,839,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,58,2006-10-01 14:30:00,816,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,59,2006-10-01 14:45:00,805,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,60,2006-10-01 15:00:00,821,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,61,2006-10-01 15:15:00,787,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,62,2006-10-01 15:30:00,828,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,63,2006-10-01 15:45:00,800,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,64,2006-10-01 16:00:00,791,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,65,2006-10-01 16:15:00,897,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,66,2006-10-01 16:30:00,887,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,67,2006-10-01 16:45:00,898,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,68,2006-10-01 17:00:00,911,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,69,2006-10-01 17:15:00,960,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,70,2006-10-01 17:30:00,861,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,71,2006-10-01 17:45:00,826,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,72,2006-10-01 18:00:00,757,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,73,2006-10-01 18:15:00,704,True
0970,WARRIGAL_RD N of HIGH STREET_RD,-37.8673030894309,145.09151138211382,2006-10-01,74,2006-10-01 18:30:00,614,True
