tfm_id,tfm_desc,site_desc,longitude,latitude,tfm_typ_de,movement_t,declared_r,local_road,aadt_all_vehicles,aadt_truck,percent_trucks,last_year
49715,LANSDOWNE ST S OF ALBERT ST,ALBERT ST/LANSDOWNE ST,144.97830113555972,-37.8100123946195,INTERSECTION,All Moves,LANSDOWNE STREET,LANSDOWNE STREET,7200,0,0.0,2011
44671,MCDONALDS W OF CABOT DR,MCDONALDS RD NR DERBY DR,145.0394502146767,-37.64584154462498,INTERSECTION,All Moves,MCDONALDS ROAD,MCDONALDS ROAD,9400,0,0.0,2002
40868,HUME FWY N BD S OF WODONGA (287.9KM),HUME FWY S OF WODONGA (287.9KM),146.7308627594406,-36.082020532905965,MIDBLOCK,All Moves,HUME FREEWAY,HUME FREEWAY,0,0,0.0,0
39590,HUME FWY OFF-RAMP N BD TO MIDLAND HWY @192.1KM FROM MELBOURN,HUME FWY OFF-RAMP TO MIDLAND HWY @192.1KM FROM MELBOURN,145.96058451787343,-36.55684979558298,MIDBLOCK,Off Ramp,Missing Data,HUME COURT,630,100,0.16,1994
39223,S.E.ARTERIAL SEBD OFFRMP NWBD NW OF WARRIGAL RD,WARRIGAL RD N OF S.E. ARTERIAL RAMPS,145.09005810042615,-37.882230802241715,INTERSECTION,Off Ramp,2000F 2070B,MONASH OUT-WARRIGAL RAMP OF,0,0,0.0,0
50011,EASTERN FWY 2WAY W OF BULLEEN RD,EASTERN FWY W OF BULLEEN RD,145.0758690821268,-37.78156328138501,INTERSECTION,All Moves,2320B 2830R,BULLEEN-EASTERN IN RAMP ON,0,0,0.0,0
54016,HUME FWY S BD 350M S OF WANGARATTA-WHITFIELD RD @234.4KM FROM MELBOURNE,HUME FWY 350M S OF WANGARATTA-WHITFIELD RD @234.4KM FROM MELBOURNE,146.33605676813147,-36.3961106555591,MIDBLOCK,All Moves,HUME FREEWAY,HUME FREEWAY,3900,1300,0.34,2006
44363,BURKE RD SO of WAVERLEY RD,BURKE RD & WAVERLEY RD,145.04796615966464,-37.87705840033388,INTERSECTION,All Moves,BURKE ROAD,BURKE ROAD,9000,300,0.03,1989
45317,ELLA ST 2WAY S OF NEERIM RD,ELLA ST 2WAY S OF NEERIM RD,145.07264531076513,-37.892249099490954,UNDEFINED,All Moves,Missing Data,ELLA STREET,270,0,0.0,1989
51990,BOUNDARY RD W of FITZGERALD RD,BOUNDARY RD & FITZGERALD RD,144.78675751006924,-37.81350273739618,INTERSECTION,All Moves,KEILOR-LAVERTON ROAD,BOUNDARY ROAD,9400,940,0.1,1991
