Model,MAE,RMSE,R2,WAPE_percent,MAPE_percent
LSTM,37.01443465740392,51.119914996955394,0.9646988348819824,10.288519491235425,38.66106998059982
GRU,43.57132527837248,53.71690625694787,0.9610209923920776,12.111070546793416,67.97995413102534
CNN,30.520635922388596,44.621160624361195,0.9731038252202,8.483505434536848,22.91205152862763
GRU_MIXED_CONTROLLED,40.63692845909885,51.11894790850327,0.9647001705268562,11.295426618970327,61.28285442516122
