Model,Epoch,loss,mae,val_loss,val_mae,learning_rate
LSTM,1,0.0091744465753436,0.0624056607484817,0.0083269532769918,0.065942071378231,0.0010000000474974
LSTM,2,0.0052054952830076,0.0477109812200069,0.0066750687547028,0.0586221702396869,0.0010000000474974
LSTM,3,0.0038740136660635,0.0416235439479351,0.0053595583885908,0.0521882139146328,0.0010000000474974
LSTM,4,0.0026338752359151,0.035197976976633,0.0041897087357938,0.045822188258171,0.0010000000474974
LSTM,5,0.0020322536583989,0.0315643548965454,0.0035058758221566,0.0418248958885669,0.0010000000474974
LSTM,6,0.0017201387090608,0.0292090773582458,0.003049419960007,0.0390282236039638,0.0010000000474974
LSTM,7,0.0015412456123158,0.0275970678776502,0.0027889325283467,0.0376326963305473,0.0010000000474974
LSTM,8,0.0014506977749988,0.0267404615879058,0.0026205237954854,0.0366394780576229,0.0010000000474974
LSTM,9,0.0013685177545994,0.0258861575275659,0.0024707925040274,0.0354619398713111,0.0010000000474974
LSTM,10,0.0012901703594252,0.0251946542412042,0.0023669069632887,0.0350909493863582,0.0010000000474974
LSTM,11,0.001249904744327,0.0247214045375585,0.0023848603013902,0.0354753546416759,0.0010000000474974
LSTM,12,0.0012319466331973,0.0244901813566684,0.0023645421024411,0.0357521325349807,0.0010000000474974
LSTM,13,0.0011864841217175,0.0239309873431921,0.0023830330464988,0.0358470529317855,0.0010000000474974
LSTM,14,0.0011533325305208,0.0236649401485919,0.0023801564238965,0.0360352583229541,0.0010000000474974
LSTM,15,0.0010861895279958,0.0229318030178546,0.0019965046085417,0.0333549827337265,0.0005000000237487
LSTM,16,0.0010277169058099,0.022284822538495,0.0020290238317102,0.0336262099444866,0.0005000000237487
LSTM,17,0.0010181127581745,0.0221066270023584,0.0020575954113155,0.0338341519236564,0.0005000000237487
LSTM,18,0.00100758834742,0.0219598971307277,0.0020552610512822,0.0338608063757419,0.0005000000237487
LSTM,19,0.0009852877119556,0.0217603985220193,0.0020603330340236,0.0341732613742351,0.0005000000237487
LSTM,20,0.0009857405675575,0.0216784588992595,0.001731562311761,0.0312845595180988,0.0002500000118743
LSTM,21,0.0009417994297109,0.0211592502892017,0.00173489167355,0.0313413329422473,0.0002500000118743
LSTM,22,0.0009331335313618,0.0210291184484958,0.0017368469852954,0.0311935488134622,0.0002500000118743
LSTM,23,0.0009241633233614,0.0208770092576742,0.0017311280826106,0.0311692766845226,0.0002500000118743
LSTM,24,0.0009180553606711,0.020786702632904,0.0017657099524512,0.0315667614340782,0.0002500000118743
LSTM,25,0.0009251898736692,0.0208434704691171,0.0015033738454803,0.029182381927967,0.0001250000059371
LSTM,26,0.0008995392126962,0.0204855147749185,0.0014611843507736,0.028799382969737,0.0001250000059371
LSTM,27,0.0008837168570607,0.020281134173274,0.0014707727823406,0.0289497822523117,0.0001250000059371
LSTM,28,0.0008817418129183,0.0202527567744255,0.0015031197108328,0.0293082911521196,0.0001250000059371
LSTM,29,0.0008742359932512,0.0201024282723665,0.001491809496656,0.0291566252708435,0.0001250000059371
LSTM,30,0.0008867383003234,0.020240070298314,0.0013579549267888,0.0277952887117862,6.25000029685907e-05
LSTM,31,0.0008682614425197,0.0200158394873142,0.0013482524082064,0.0278145745396614,6.25000029685907e-05
LSTM,32,0.0008619785658083,0.0199531652033329,0.0013480809284374,0.0277760699391365,6.25000029685907e-05
LSTM,33,0.0008599826833233,0.0198442414402961,0.0013616022188216,0.0279251188039779,6.25000029685907e-05
LSTM,34,0.000858522253111,0.0198585521429777,0.0013616039650514,0.0280233845114707,6.25000029685907e-05
LSTM,35,0.0008689774549566,0.0199684724211692,0.0012875288957729,0.0271750874817371,3.125000148429535e-05
LSTM,36,0.0008621326414868,0.0198481157422065,0.0012905310140922,0.027271756902337,3.125000148429535e-05
LSTM,37,0.000859105202835,0.0197948440909385,0.001279431162402,0.0271850153803825,3.125000148429535e-05
LSTM,38,0.0008612089441157,0.0198127310723066,0.0012919119326397,0.027320921421051,3.125000148429535e-05
LSTM,39,0.0008626589551568,0.0197821278125047,0.0012391300406306,0.0267325527966022,1.5625000742147677e-05
LSTM,40,0.0008576858090236,0.019758403301239,0.0012299767695367,0.0265903826802968,1.5625000742147677e-05
LSTM,41,0.0008548790356144,0.0196932163089513,0.001234202994965,0.026739414781332,1.5625000742147677e-05
LSTM,42,0.000852916506119,0.0196543186902999,0.0012337727239355,0.026710582897067,1.5625000742147677e-05
LSTM,43,0.0008525879820808,0.0196631047874689,0.0012268999125808,0.0266135036945343,1.5625000742147677e-05
LSTM,44,0.0008592333761043,0.0196949709206819,0.0012008890043944,0.0262892507016658,7.812500371073838e-06
LSTM,45,0.0008558225235901,0.0196931082755327,0.0011996182147413,0.0263087470084428,7.812500371073838e-06
LSTM,46,0.0008569036144763,0.0196860581636428,0.001194883370772,0.0262520909309387,7.812500371073838e-06
LSTM,47,0.0008518773829564,0.0196438394486904,0.001197668723762,0.0262841749936342,7.812500371073838e-06
LSTM,48,0.0008612629026174,0.0197168234735727,0.0011849877191707,0.02612791582942,3.906250185536919e-06
LSTM,49,0.0008547291508875,0.0196738671511411,0.0011827036505565,0.0261251684278249,3.906250185536919e-06
LSTM,50,0.0008574780076742,0.0196641497313976,0.0011817972408607,0.0260997954756021,3.906250185536919e-06
LSTM,51,0.000855557678733,0.0196671355515718,0.0011811355361714,0.0261119250208139,3.906250185536919e-06
LSTM,52,0.000859004270751,0.0196673851460218,0.0011810937430709,0.0261376742273569,1.9531250927684596e-06
LSTM,53,0.0008485510479658,0.0195665825158357,0.0011744367657229,0.0260361991822719,1.9531250927684596e-06
LSTM,54,0.0008508535684086,0.0196037124842405,0.0011759189656004,0.0260888691991567,1.9531250927684596e-06
LSTM,55,0.0008541626157239,0.0195970833301544,0.001175251789391,0.0260653551667928,1.9531250927684596e-06
LSTM,56,0.0008528538164682,0.0196088925004005,0.0011766126845031,0.0261119045317173,9.999999974752427e-07
LSTM,57,0.0008518499089404,0.0196099299937486,0.0011767077958211,0.0261231437325477,9.999999974752427e-07
LSTM,58,0.0008493234054185,0.0195836871862411,0.0011750878766179,0.0261020045727491,9.999999974752427e-07
LSTM,59,0.000854255980812,0.0195936039090156,0.0011730040423572,0.026074044406414,9.999999974752427e-07
LSTM,60,0.0008553986554034,0.0196245424449443,0.001172307296656,0.0260616745799779,9.999999974752427e-07
GRU,1,0.0073702246882021,0.0585733614861965,0.0037423456087708,0.0422699712216854,0.0010000000474974
GRU,2,0.0027635337319225,0.0376240164041519,0.0028968213591724,0.03699267283082,0.0010000000474974
GRU,3,0.0021300734952092,0.0330774188041687,0.0028568857815116,0.0364553146064281,0.0010000000474974
GRU,4,0.001825526705943,0.0305709205567836,0.0027882419526576,0.0359418280422687,0.0010000000474974
GRU,5,0.0017434967448934,0.0297574829310178,0.0028713515494018,0.0360805764794349,0.0010000000474974
GRU,6,0.0016458701575174,0.0288679637014865,0.0027454802766442,0.035127930343151,0.0010000000474974
GRU,7,0.0015426182653754,0.0278979521244764,0.0026583508588373,0.0344867594540119,0.0010000000474974
GRU,8,0.0014847792917862,0.0272704716771841,0.0024921575095504,0.0332067795097827,0.0010000000474974
GRU,9,0.0014006036799401,0.0264834873378276,0.0022891263943165,0.031917817890644,0.0010000000474974
GRU,10,0.0013691341737285,0.0261307563632726,0.0022659753449261,0.0319173969328403,0.0010000000474974
GRU,11,0.0013215286890044,0.0257758386433124,0.0020465382840484,0.0308047328144311,0.0010000000474974
GRU,12,0.0012872745282948,0.0254445187747478,0.002067876746878,0.0311404969543218,0.0010000000474974
GRU,13,0.0012561839539557,0.0250975452363491,0.0020230247173458,0.0314616709947586,0.0010000000474974
GRU,14,0.0012376230442896,0.0249020531773567,0.0020180114079266,0.0311396140605211,0.0010000000474974
GRU,15,0.0012101681204512,0.0245130341500043,0.0019077829783782,0.0302835442125797,0.0010000000474974
GRU,16,0.0011870632879436,0.0242046378552913,0.0018513860413804,0.0301819704473018,0.0010000000474974
GRU,17,0.0011477303924039,0.0238668378442525,0.001867079292424,0.0303837675601243,0.0010000000474974
GRU,18,0.0011186574120074,0.023524884134531,0.0018586571095511,0.0303873736411333,0.0010000000474974
GRU,19,0.0011010154848918,0.0233167931437492,0.0019434355199337,0.0310264099389314,0.0010000000474974
GRU,20,0.0010095584439113,0.0221560709178447,0.0016379489097744,0.0288298707455396,0.0005000000237487
GRU,21,0.0009673560271039,0.0216657780110836,0.0016755834221839,0.0289299320429563,0.0005000000237487
GRU,22,0.0009513578261248,0.0214394144713878,0.0016713642980903,0.0290279351174831,0.0005000000237487
GRU,23,0.0009329945896752,0.0212250761687755,0.0016808793880045,0.029074540361762,0.0005000000237487
GRU,24,0.0009235748439095,0.0210823155939579,0.0016815696144476,0.0293410457670688,0.0005000000237487
GRU,25,0.0009212042787112,0.0209603570401668,0.0014395834878087,0.0273587591946125,0.0002500000118743
GRU,26,0.0008904899004846,0.0206489693373441,0.0014757344033569,0.0277425814419984,0.0002500000118743
GRU,27,0.0008847517310641,0.0205687321722507,0.0014809292042627,0.0277843195945024,0.0002500000118743
GRU,28,0.0008769686683081,0.0203972551971673,0.001463106367737,0.0276627857238054,0.0002500000118743
GRU,29,0.0008695645374245,0.0203124079853296,0.0014808874111622,0.0279690623283386,0.0002500000118743
GRU,30,0.0008840722148306,0.0203902926295995,0.0012610395206138,0.0256266929209232,0.0001250000059371
GRU,31,0.0008605884504504,0.0201226435601711,0.0012611472047865,0.025821141898632,0.0001250000059371
GRU,32,0.0008540695416741,0.0200437530875206,0.00126952980645,0.0258635971695184,0.0001250000059371
GRU,33,0.0008525046287104,0.0199664663523435,0.0012706174748018,0.0259457342326641,0.0001250000059371
GRU,34,0.0008417746867053,0.0198940150439739,0.0012607937678694,0.0257597994059324,0.0001250000059371
GRU,35,0.00085157121066,0.0199155751615762,0.0011912152403965,0.0250935070216655,6.25000029685907e-05
GRU,36,0.0008409732836298,0.0197658650577068,0.0011936482042074,0.0252186432480812,6.25000029685907e-05
GRU,37,0.0008384466636925,0.0197706129401922,0.0011847506975755,0.0250984206795692,6.25000029685907e-05
GRU,38,0.0008355630561709,0.0196763183921575,0.0011873865732923,0.0250656269490718,6.25000029685907e-05
GRU,39,0.0008484191494062,0.0198374390602111,0.0011330547276884,0.024537643417716,3.125000148429535e-05
GRU,40,0.0008429807494394,0.0197597593069076,0.0011263138148933,0.0244343876838684,3.125000148429535e-05
GRU,41,0.0008390209404751,0.0197188854217529,0.0011240198509767,0.0244477149099111,3.125000148429535e-05
GRU,42,0.0008343171793967,0.0196319222450256,0.0011297442251816,0.0245546102523803,3.125000148429535e-05
GRU,43,0.0008323722868226,0.0196244679391384,0.0011262074112892,0.0244893729686737,3.125000148429535e-05
GRU,44,0.0008422950631938,0.0197391789406538,0.0010777451097965,0.0239066258072853,1.5625000742147677e-05
GRU,45,0.000836742168758,0.019645458087325,0.0010770432418212,0.023950595408678,1.5625000742147677e-05
GRU,46,0.0008366222027689,0.0196570716798305,0.0010803339537233,0.0240469425916671,1.5625000742147677e-05
GRU,47,0.0008356374455615,0.0196174364537,0.0010722330771386,0.0239162780344486,1.5625000742147677e-05
GRU,48,0.0008416391792707,0.0196907483041286,0.0010458548786118,0.0235586985945701,7.812500371073838e-06
GRU,49,0.0008402974344789,0.0196549724787473,0.0010408716043457,0.0235063135623931,7.812500371073838e-06
GRU,50,0.0008391394512727,0.019657801836729,0.0010404763743281,0.0234860125929117,7.812500371073838e-06
GRU,51,0.0008395266486331,0.0196479093283414,0.0010389332892373,0.0235037561506032,7.812500371073838e-06
GRU,52,0.0008428234723396,0.019653707742691,0.0010259971022605,0.0233348589390516,3.906250185536919e-06
