from_site,to_site,road_name,distance_km,mean_flow,from_location,to_location,from_direction,to_direction
4270,4264,GLENFERRIE_RD,0.6317,49.0,GLENFERRIE_RD_N_of_RIVERSDALE_RD,GLENFERRIE_RD_N_of_BURWOOD_RD,N,N
4264,4270,GLENFERRIE_RD,0.6317,49.0,GLENFERRIE_RD_N_of_BURWOOD_RD,GLENFERRIE_RD_N_of_RIVERSDALE_RD,N,N
4264,4324,GLENFERRIE_RD,1.6123,41.5,GLENFERRIE_RD_N_of_BURWOOD_RD,GLENFERRIE_RD_S_OF_COTHAM_RD,N,S
4324,4264,GLENFERRIE_RD,1.6123,41.5,GLENFERRIE_RD_S_OF_COTHAM_RD,GLENFERRIE_RD_N_of_BURWOOD_RD,S,N
4321,4032,HARP_RD,0.9952,35.5,HARP_RD_E_OF_HIGH_ST,HARP_RD_W_of_BURKE_RD,E,W
4032,4321,HARP_RD,0.9952,35.5,HARP_RD_W_of_BURKE_RD,HARP_RD_E_OF_HIGH_ST,W,E
2846,3001,HIGH_ST,6.1221,56.5,HIGH_ST_E_OF_S.E.ARTERIAL,HIGH_ST_NE_of_BARKERS_RD,E,NE
3001,2846,HIGH_ST,6.1221,56.5,HIGH_ST_NE_of_BARKERS_RD,HIGH_ST_E_OF_S.E.ARTERIAL,NE,E
3001,3662,HIGH_ST,0.7829,47.0,HIGH_ST_NE_of_BARKERS_RD,HIGH_ST_NE_of_PRINCESS_ST,NE,NE
3662,3001,HIGH_ST,0.7829,47.0,HIGH_ST_NE_of_PRINCESS_ST,HIGH_ST_NE_of_BARKERS_RD,NE,NE
3662,4335,HIGH_ST,0.7009,36.0,HIGH_ST_NE_of_PRINCESS_ST,HIGH_ST_NE_of_CHARLES_ST,NE,NE
4335,3662,HIGH_ST,0.7009,36.0,HIGH_ST_NE_of_CHARLES_ST,HIGH_ST_NE_of_PRINCESS_ST,NE,NE
4335,4321,HIGH_ST,1.3941,25.0,HIGH_ST_NE_of_CHARLES_ST,HIGH_ST_NE_OF_HARP_ST,NE,NE
4321,4335,HIGH_ST,1.3941,25.0,HIGH_ST_NE_OF_HARP_ST,HIGH_ST_NE_of_CHARLES_ST,NE,NE
4321,4030,HIGH_ST,1.1704,32.0,HIGH_ST_NE_OF_HARP_ST,HIGH_ST_SW_of_BURKE_RD,NE,SW
4030,4321,HIGH_ST,1.1704,32.0,HIGH_ST_SW_of_BURKE_RD,HIGH_ST_NE_OF_HARP_ST,SW,NE
4263,3002,POWER_ST,0.8314,55.5,POWER_ST_N_of_BURWOOD_RD,POWER_ST_S_of_BARKERS_RD,N,S
3002,4263,POWER_ST,0.8314,55.5,POWER_ST_S_of_BARKERS_RD,POWER_ST_N_of_BURWOOD_RD,S,N
3662,2820,PRINCESS_ST,1.5687,64.0,PRINCESS_ST_N_of_HIGH_ST,PRINCESS_ST_S_of_CHANDLER_HWY,N,S
2820,3662,PRINCESS_ST,1.5687,64.0,PRINCESS_ST_S_of_CHANDLER_HWY,PRINCESS_ST_N_of_HIGH_ST,S,N
4270,4272,RIVERSDALE_RD,1.1826,45.0,RIVERSDALE_RD_E_of_GLENFERRIE_RD,RIVERSDALE_RD_E_of_TOORONGA_RD,E,E
4272,4270,RIVERSDALE_RD,1.1826,45.0,RIVERSDALE_RD_E_of_TOORONGA_RD,RIVERSDALE_RD_E_of_GLENFERRIE_RD,E,E
4272,4040,RIVERSDALE_RD,0.8221,22.5,RIVERSDALE_RD_E_of_TOORONGA_RD,RIVERSDALE_RD_E_of_BURKE_RD,E,E
4040,4272,RIVERSDALE_RD,0.8221,22.5,RIVERSDALE_RD_E_of_BURKE_RD,RIVERSDALE_RD_E_of_TOORONGA_RD,E,E
4040,3804,RIVERSDALE_RD,0.604,30.5,RIVERSDALE_RD_E_of_BURKE_RD,RIVERSDALE_RD_E_of_TRAFALGAR_RD,E,E
3804,4040,RIVERSDALE_RD,0.604,30.5,RIVERSDALE_RD_E_of_TRAFALGAR_RD,RIVERSDALE_RD_E_of_BURKE_RD,E,E
3804,3682,RIVERSDALE_RD,3.0738,26.0,RIVERSDALE_RD_E_of_TRAFALGAR_RD,RIVERSDALE_RD_E_OF_WARRIGAL_RD,E,E
3682,3804,RIVERSDALE_RD,3.0738,26.0,RIVERSDALE_RD_E_OF_WARRIGAL_RD,RIVERSDALE_RD_E_of_TRAFALGAR_RD,E,E
4273,4043,TOORAK_RD,0.7038,67.0,TOORAK_RD_E_of_TOORONGA_RD,TOORAK_RD_E_of_BURKE_RD,E,E
4043,4273,TOORAK_RD,0.7038,67.0,TOORAK_RD_E_of_BURKE_RD,TOORAK_RD_E_of_TOORONGA_RD,E,E
4043,2000,TOORAK_RD,3.6353,91.5,TOORAK_RD_E_of_BURKE_RD,TOORAK_RD_W_of_WARRIGAL_RD,E,W
2000,4043,TOORAK_RD,3.6353,91.5,TOORAK_RD_W_of_WARRIGAL_RD,TOORAK_RD_E_of_BURKE_RD,W,E
4273,4272,TOORONGA_RD,1.6094,10.0,TOORONGA_RD_N_of_TOORAK_RD,TOORONGA_RD_S_of_RIVERSDALE_RD,N,S
4272,4273,TOORONGA_RD,1.6094,10.0,TOORONGA_RD_S_of_RIVERSDALE_RD,TOORONGA_RD_N_of_TOORAK_RD,S,N
3812,3804,TRAFALGAR_RD,0.4663,16.5,TRAFALGAR_RD_NE_of_CAMBERWELL_RD,TRAFALGAR_RD_N_of_RIVERSDALE_RD,NE,N
3804,3812,TRAFALGAR_RD,0.4663,16.5,TRAFALGAR_RD_N_of_RIVERSDALE_RD,TRAFALGAR_RD_NE_of_CAMBERWELL_RD,N,NE
970,3685,WARRIGAL_RD,1.3885,91.5,WARRIGAL_RD_N_of_HIGH_STREET_RD,WARRIGAL_RD_N_of_HIGHBURY_RD,N,N
3685,970,WARRIGAL_RD,1.3885,91.5,WARRIGAL_RD_N_of_HIGHBURY_RD,WARRIGAL_RD_N_of_HIGH_STREET_RD,N,N
3685,2000,WARRIGAL_RD,0.3351,71.5,WARRIGAL_RD_N_of_HIGHBURY_RD,WARRIGAL_RD_N_of_TOORAK_RD,N,N
2000,3685,WARRIGAL_RD,0.3351,71.5,WARRIGAL_RD_N_of_TOORAK_RD,WARRIGAL_RD_N_of_HIGHBURY_RD,N,N
2000,3682,WARRIGAL_RD,1.6546,41.5,WARRIGAL_RD_N_of_TOORAK_RD,WARRIGAL_RD_N_OF_RIVERSDALE_RD,N,N
3682,2000,WARRIGAL_RD,1.6546,41.5,WARRIGAL_RD_N_OF_RIVERSDALE_RD,WARRIGAL_RD_N_of_TOORAK_RD,N,N
3682,3126,WARRIGAL_RD,1.0005,38.5,WARRIGAL_RD_N_OF_RIVERSDALE_RD,WARRIGAL_RD_S_of_CANTERBURY_RD,N,S
3126,3682,WARRIGAL_RD,1.0005,38.5,WARRIGAL_RD_S_of_CANTERBURY_RD,WARRIGAL_RD_N_OF_RIVERSDALE_RD,S,N
4034,4063,WHITEHORSE_RD,1.8329,44.0,WHITEHORSE_RD_E_OF_BURKE_RD,WHITEHORSE_RD_E_OF_BALWYN_RD,E,E
4063,4034,WHITEHORSE_RD,1.8329,44.0,WHITEHORSE_RD_E_OF_BALWYN_RD,WHITEHORSE_RD_E_OF_BURKE_RD,E,E
