site_id,location,latitude,longitude
970,HIGH_STREET_RD_E_of_WARRIGAL_RD,-37.8673030894309,145.09151138211382
2000,BURWOOD_HWY_E_of_WARRIGAL_RD,-37.851922768421055,145.09432438245614
2200,MAROONDAH_HWY_E_of_UNION_RD,-37.816539975,145.0980472
2820,EARL_ST_SE_of_PRINCESS_ST,-37.79478475409836,145.0304650819672
2825,BURKE_RD_S_of_EASTERN_FWY,-37.78661,145.06202
2827,BULLEEN_RD_N_of_THOMPSONS_RD,-37.781739325000004,145.0773314
2846,HIGH_ST_E_OF_S.E.ARTERIAL,-37.861304275,145.05787450000003
3001,BARKERS_RD_E_of_HIGH_ST,-37.81456494736842,145.02221
3002,BARKERS_RD_E_of_DENMARK_ST,-37.8151625,145.0265725
3120,BURKE_RD_N_of_CANTERBURY_RD,-37.822895,145.0572875
3122,CANTERBURY_RD_E_of_STANHOPE_GV,-37.823856666666664,145.06439333333333
3126,CANTERBURY_RD_E_of_WARRIGAL_RD,-37.827846666666666,145.09857666666664
3127,BALWYN_RD_N_of_CANTERBURY_RD,-37.825226666666666,145.0779466666667
3180,BALWYN_RD_S_of_DONCASTER_RD,-37.796213333333334,145.08350666666666
3662,HIGH_ST_NE_of_PRINCESS_ST,-37.8089525,145.0274575
3682,RIVERSDALE_RD_E_OF_WARRIGAL_RD,-37.837475,145.0968675
3685,HIGHBURY_RD_E_of_WARRIGAL_RD,-37.85487144578313,145.09392361445785
3804,RIVERSDALE_RD_E_of_TRAFALGAR_RD,-37.833642499999996,145.0623925
3812,CAMBERWELL_RD_NW_of_TRAFALGAR_RD,-37.83749,145.060865
4030,BURKE_RD_S_of_DONCASTER_RD,-37.79533,145.06160666666668
4032,BELMORE_RD_E_of_BURKE_RD,-37.802297499999995,145.06123
4034,BURKE_RD_N_OF_WHITEHORSE_RD,-37.81184999999999,145.059405
4035,BARKERS_RD_W_of_BURKE_RD,-37.818156349999995,145.058122575
4040,BURKE_RD_N_of_RIVERSDALE_RD,-37.83287166666666,145.05542333333332
4043,BURKE_RD_N_of_TOORAK_RD,-37.84716,145.0526275
4051,DONCASTER_RD_E_of_BULLEEN_RD,-37.79414333333333,145.06933333333333
4057,BALWYN_RD_N_OF_BELMORE_RD,-37.80496868852459,145.08175975409836
4063,BALWYN_RD_N_OF_WHITEHORSE_RD,-37.8143725,145.080005
4262,BRIDGE_RD_SW_of_BURWOOD_RD,-37.82155,145.01503
4263,BURWOOD_RD_E_of_POWER_ST,-37.823056175,145.02495800000003
4264,BURWOOD_RD_E_of_GLENFERRIE_RD,-37.82410539130434,145.03400617391304
4266,AUBURN_RD_N_of_BURWOOD_RD,-28.3689725,108.782585
4270,GLENFERRIE_RD_N_of_RIVERSDALE_RD,-37.8302275,145.032815
4272,RIVERSDALE_RD_E_of_TOORONGA_RD,-37.83188333333334,145.04639333333333
4273,TOORAK_RD_E_of_TOORONGA_RD,-37.84659,145.04443
4321,HARP_RD_E_OF_HIGH_ST,-37.800837925,145.049119025
4324,COTHAM_RD_E_OF_GLENFERRIE_RD,-37.80933233333334,145.03684766666666
4335,HIGH_ST_NE_of_CHARLES_ST,-37.806215,145.03525000000002
4812,MADDEN_GV_S_OF_SWAN_ST,-37.82891333333333,145.01558666666665
4821,BURNLEY_ST_S_OF_VICTORIA_ST,-37.812965,145.00847
